시군명,사업장명,인허가일자,영업상태명,폐업일자,총시설규모(㎡),위생업태명,소재지도로명주소,소재지지번주소,소재지우편번호,WGS84위도,WGS84경도
수원시,카페 버찌울,20140516,폐업,20221117,105.83,까페,"경기도 수원시 영통구 대학1로8번길 103, 1층 (이의동)",경기도 수원시 영통구 이의동 1244-1 ,,37.29869754,127.0466622
수원시,스타일,2014-07-25,폐업,2024-12-23,54,까페,"경기도 수원시 영통구 영통로200번길 75, 104호 (영통동)",경기도 수원시 영통구 영통동 1117 104호,16690,37.2442801249,127.0609468714
수원시,카페여는,20120731,폐업,20180129,46.92,까페,"경기도 수원시 팔달구 경수대로 549, 103,104호 (인계동)","경기도 수원시 팔달구 인계동 955-1 103,104호",,37.27504959,127.0293544
수원시,빠스띠체리아,20060522,폐업,20071009,38.85,까페,경기도 수원시 영통구 청명남로 39,경기도 수원시 영통구 영통동 998-9 럭셔리프라자 104호 ,,37.25322162,127.0756783
수원시,청학동,20030718,폐업,20130819,79.58,까페,경기도 수원시 장안구 월드컵로 419-1 (연무동),경기도 수원시 장안구 연무동 258-39 ,,37.29303805,127.0262639
수원시,올젠,19971120,폐업,20121121,76.96,까페,경기도 수원시 팔달구 효원로307번길 39 (인계동),경기도 수원시 팔달구 인계동 1122-7 ,,37.26259052,127.0357475
수원시,머루,20050205,폐업,20060615,30.98,까페,,경기도 수원시 권선구 오목천동 319 ,,,
수원시,소리창고,20110107,폐업,20211230,98.51,까페,경기도 수원시 팔달구 동말로 57 (화서동),경기도 수원시 팔달구 화서동 107-5 ,,37.2789339,127.0005883
수원시,허니달,2011-11-01,폐업,2023-09-21,44.2,까페,경기도 수원시 팔달구 월드컵로 301 (우만동),경기도 수원시 팔달구 우만동 519-2 1층 ,,37.28533848,127.034931
수원시,파스쿠찌 수원역로데오점,2003-09-24,폐업,2024-08-12,237.23,까페,경기도 수원시 팔달구 덕영대로 925 (매산로1가),경기도 수원시 팔달구 매산로1가 57-69 ,16461,37.2661016212,127.0014286844
수원시,타임속의향기,20030507,폐업,20080430,71.34,까페,경기도 수원시 팔달구 인계로166번길 32,경기도 수원시 팔달구 인계동 1115-17 ,,37.26493069,127.0348648
수원시,뷰코,20140723,폐업,20191125,194.91,까페,"경기도 수원시 팔달구 정조로 751-8, 1~2층 (팔달로3가)",경기도 수원시 팔달구 팔달로3가 77-1 1~2층 ,,37.27532069,127.0161104
수원시,신바람,20040721,폐업,20110414,91.64,까페,경기도 수원시 권선구 매송고색로 853,경기도 수원시 권선구 평동 54-4 ,,37.25710869,126.995748
수원시,언젠가는,20030116,폐업,20070706,26.91,까페,경기도 수원시 영통구 매영로415번길 11,경기도 수원시 영통구 영통동 1015-8 ,,37.24927741,127.0767717
수원시,국화,20100909,폐업,20150904,27.96,까페,경기도 수원시 장안구 파장천로 23 (파장동),경기도 수원시 장안구 파장동 583-13 ,,37.30772627,126.994688
수원시,타이티,20060522,폐업,20110530,37.37,까페,경기도 수원시 팔달구 권광로 184,경기도 수원시 팔달구 인계동 1120 캐슬타워 120호 ,,37.2639144,127.0331567
수원시,띵호와 양꼬치,20150325,폐업,20221230,26.35,까페,"경기도 수원시 팔달구 갓매산로71번길 9-3, 1층 (매산로2가)",경기도 수원시 팔달구 매산로2가 26-15 ,,37.26949755,127.0030192
수원시,예나,20110613,폐업,20170126,49.2,까페,경기도 수원시 팔달구 향교로 138 (교동),경기도 수원시 팔달구 교동 97-1 ,,37.27303585,127.0150535
수원시,발렌티노(Valentino),20131010,폐업,20160203,251.7,까페,경기도 수원시 팔달구 효원로265번길 36 (인계동),경기도 수원시 팔달구 인계동 1113-10 ,,37.26361094,127.0316361
수원시,신데렐라,20070813,폐업,20120314,111.15,까페,경기도 수원시 영통구 청명로 61,경기도 수원시 영통구 영통동 1033-1 지하 1층 ,,37.25288568,127.0800555
수원시,수다,20120427,폐업,20150302,30.1,까페,"경기도 수원시 권선구 일월천로4번길 74, 상가동 205호 (구운동, 성원아파트)",경기도 수원시 권선구 구운동 893 성원아파트 상가동 205호,,37.2834843,126.9752101
수원시,가인식당,20140708,폐업,20160607,53.34,까페,경기도 수원시 영통구 청명로21번길 3 (영통동),경기도 수원시 영통구 영통동 1019-28 ,,37.24963029,127.0796789
수원시,시실리,20070504,폐업,20080822,49.4,까페,경기도 수원시 영통구 효원로 387,경기도 수원시 영통구 매탄동 1267-3 풍성프라자 205호 ,,37.25924211,127.0439328
수원시,알론다,2013-03-08,폐업,2024-04-11,75.65,까페,경기도 수원시 영통구 법조로149번길 22 (하동),경기도 수원시 영통구 하동 961-2 ,,37.29346454,127.0719662
수원시,카페노아,20141015,폐업,20161117,48,까페,경기도 수원시 영통구 봉영로1759번길 15 (영통동),경기도 수원시 영통구 영통동 947-9 ,,37.26592314,127.0809756
수원시,샌드프레소,20030904,폐업,20081105,28.16,까페,경기도 수원시 팔달구 수원천로231번길 3,경기도 수원시 팔달구 구천동 10-24 외3필지8층 ,,37.27432151,127.0186547
수원시,보네르,20130311,폐업,20131119,54,까페,"경기도 수원시 영통구 덕영대로1556번길 16 (영통동, 980-3 영통디지털엠파이어 103호)",경기도 수원시 영통구 영통동 980-3 영통디지털엠파이어 103호 ,,37.24495264,127.0599959
수원시,자바,20030630,폐업,20080506,147.5,까페,경기도 수원시 영통구 매탄로100번길 31-7,경기도 수원시 영통구 매탄동 1265-5 ,,37.2595787,127.0447315
수원시,포츈,20020504,폐업,20060206,88.78,까페,경기도 수원시 영통구 청명남로 31,경기도 수원시 영통구 영통동 998-8 키라레스토아 406호 ,,37.25296786,127.0752964
수원시,철권카페,20120321,폐업,20121008,81.41,까페,"경기도 수원시 팔달구 매산로 21-9, 2층 (매산로1가)",경기도 수원시 팔달구 매산로1가 42-1 2층 ,,37.26804866,127.0035813
수원시,프린스,20080415,폐업,20100302,16.72,까페,경기도 수원시 팔달구 갓매산로 63,경기도 수원시 팔달구 매산로2가 26-37 외2필지 ,,37.26959128,127.0038757
수원시,위브,20120917,폐업,20160325,31.87,까페,"경기도 수원시 영통구 웰빙타운로 70, 근린생활시설동 B105호 (이의동, 광교호반베르디움)",경기도 수원시 영통구 이의동 1184 광교호반베르디움 근린생활시설동 B105호,,37.30772594,127.0434032
수원시,라튜피나,2007-10-19,폐업,2023-05-16,60.2,까페,"경기도 수원시 영통구 대학로 28, 5층 501호 (이의동)",경기도 수원시 영통구 이의동 1275-1 ,,37.29871113,127.0431643
